wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate
2,2,Aa-N1.png,N1.mp3,494.926,4,Ab-N3.png,"6,3,0,4",4,1,5,1111111,525.009,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,541.057,mouse_continue,16.048,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,541.06,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,557.606,mouse_continue,16.547,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,557.608,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,573.008,mouse_continue,15.4,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,573.009,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,587.29,mouse_continue,14.28,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,587.291,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,598.84,mouse_continue,11.55,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,598.842,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,614.873,mouse_continue,16.031,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,614.874,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,622.073,mouse_continue,7.199,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,622.074,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,640.09,mouse_continue,18.016,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,640.092,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,647.407,mouse_continue,7.315,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
,,,,,,,,,,,,647.408,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,657.873,mouse_continue,10.466,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,ALP1102,2001.08.20,2026-04-17_13h11.56.167,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.0240096
