wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate
4,2,Ab-N3.png,N3.mp3,389.0367,0,Aa-1.png,"0,3,2,5",0,1,5,1111111,395.9557,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,401.9678,mouse_continue,6.0138,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,401.9691,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,408.118,mouse_continue,6.149,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N5-SBJ-N4-PUSH-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,408.1195,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,413.9876,mouse_continue,5.8686,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,413.9886,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,419.9338,mouse_continue,5.9454,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-HIDE-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,419.9352,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,425.5712,mouse_continue,5.6363,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,425.5723,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,431.5863,mouse_continue,6.0144,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,431.5872,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,438.0699,mouse_continue,6.4829,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,438.0708,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,444.0835,mouse_continue,6.0127,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,OBJ-N5-SBJ-N1-PUSH-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,444.0845,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,449.8372,mouse_continue,5.7528,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,449.838,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,455.603,mouse_continue,5.7651,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,OBJ-N5-SBJ-N2-REVEAL-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,455.6039,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-HIDE-TR.mp3,461.2999,mouse_continue,5.696,,0,10,10,10,1,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N5-SBJ-N2-HIDE-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,461.3012,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,467.4166,mouse_continue,6.116,,0,11,11,11,1,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,467.4181,1,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-HIDE-INTR.mp3,473.1359,mouse_continue,5.7184,,0,12,12,12,1,1,SBJ-N5-HIDE-INTR.mp4,SBJ-N5-HIDE-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,473.1367,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,484.0331,mouse_continue,10.8964,,0,13,13,13,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,484.0348,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,489.883,mouse_continue,5.8483,,0,14,14,14,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,489.8841,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,495.7662,mouse_continue,5.8822,,0,15,15,15,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,495.7675,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,501.5183,mouse_continue,5.7511,,0,16,16,16,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,501.5193,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,507.3185,mouse_continue,5.7993,,0,17,17,17,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,507.3193,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,513.0183,mouse_continue,5.6992,,0,18,18,18,1,1,SBJ-N2-GO-INTR.mp4,SBJ-N2-GO-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,513.019,1,SBJ-N1-REVEAL-INTR.mp4,SBJ-N1-REVEAL-INTR.mp3,518.7157,mouse_continue,5.6969,,0,19,19,19,1,1,SBJ-N1-REVEAL-INTR.mp4,SBJ-N1-REVEAL-INTR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,518.7169,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,524.9824,mouse_continue,6.2658,,0,20,20,20,1,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,524.9834,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,530.9153,mouse_continue,5.9322,,0,21,21,21,1,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,530.9164,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp3,539.2321,mouse_continue,8.3159,,0,22,22,22,1,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
,,,,,,,,,,,,539.2333,1,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,546.2849,mouse_continue,7.0517,,0,23,23,23,1,1,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,Date,2006.08.25,2026-05-09_20h08.52.683,BrocantoHPilot1WOSession1,2025.2.4,Win32,60.97560976
