wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate
3,2,Aa-N2.png,N2.mp3,408.3268,0,Aa-2.png,"4,2,1,0",0,1,5,1111111,442.6757,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,452.1323,mouse_continue,9.4583,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,452.1357,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,460.9804,mouse_continue,8.8455,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,460.9831,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,469.4293,mouse_continue,8.4472,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,469.4321,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,475.9786,mouse_continue,6.5472,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,475.9818,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,483.8608,mouse_continue,7.8799,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,483.8637,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,494.0428,mouse_continue,10.1799,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,494.0453,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,499.8817,mouse_continue,5.8369,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,499.8837,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,508.841,mouse_continue,8.9575,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,508.843,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,515.0233,mouse_continue,6.181,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
,,,,,,,,,,,,515.0266,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,537.9568,mouse_continue,22.9311,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,557034,,2026-05-28_16h38.02.503,BrocantoHPilot1MorphSession1,2025.2.4,Win32,60.24096386
