wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate
0,0,Ab-N2.png,N2.mp3,0,0,Ab-N1.png,0,0,0,0,1111111,0,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,0,mouse_continue,0,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,0,mouse_continue,0,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,0,mouse_continue,0,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,0,mouse_continue,0,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,0,mouse_continue,0,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,0,mouse_continue,0,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,0,mouse_continue,0,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,0,mouse_continue,0,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,0,mouse_continue,0,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,0,mouse_continue,0,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,SBJ-N2-HIDE-TR-OBJ-N5.mp3,0,mouse_continue,0,,0,10,10,10,1,1,OBJ-N5-SBJ-N2-HIDE-TR.mp4,SBJ-N2-HIDE-TR-OBJ-N5.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,0,mouse_continue,0,,0,11,11,11,1,1,SBJ-N2-JUMP-INTR.mp4,SBJ-N2-JUMP-INTR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N5-HIDE-INTR.mp4,HIDE-INTR-SBJ-N5.mp3,0,mouse_continue,0,,0,12,12,12,1,1,SBJ-N5-HIDE-INTR.mp4,HIDE-INTR-SBJ-N5.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,0,mouse_continue,0,,0,13,13,13,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,0,mouse_continue,0,,0,14,14,14,1,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,0,mouse_continue,0,,0,15,15,15,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
,,,,,,,,,,,,0,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,0,mouse_continue,0,,0,16,16,16,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,ALP1204,,2026-01-01_00h00.00.000,BrocantoHPilot1MorphSession1,2025.2.4,Win32,144.092219
