participant,participant_unique_id,birth_date,date,experiment_name,session,loop,trial_id_global,running_index,task_type,trial_type,legality,sentence_complexity,target_sentence,foil_sentence,sentence_frame,foil_sentence_frame,previous_encounters,target_video,foil_video,audio,t_start,t_end,reaction_time,correct_response,response,accuracy
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,1,1,Passive,,legal,1,SBJ.N3 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N3-REVEAL-INTR.mp4,,SBJ-N3-REVEAL-INTR.mp3,635.2396,649.7525,14.512900000000059,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,2,2,Passive,,legal,2,OBJ.N5 SBJ.N4 PUSH-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N4-PUSH-TR.mp4,,SBJ-N4-OBJ-N5-PUSH-TR.mp3,649.7538,668.3178,18.564000000000078,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,3,3,Passive,,legal,2,OBJ.N5 SBJ.N1 HIDE-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N1-HIDE-TR.mp4,,OBJ-N5-HIDE-TR-SBJ-N1.mp3,668.319,676.6173,8.29830000000004,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,4,4,Passive,,legal,1,SBJ.N1 HIDE-INTR,,SBJ-V.INTR,,0,SBJ-N1-HIDE-INTR.mp4,,HIDE-INTR-SBJ-N1.mp3,676.619,685.0164,8.397399999999948,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,5,5,Passive,,legal,1,SBJ.N2 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N2-REVEAL-INTR.mp4,,SBJ-N2-REVEAL-INTR.mp3,685.0177,696.0657,11.048000000000002,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,6,6,Passive,,legal,2,OBJ.N5 SBJ.N3 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,696.0671,707.1324,11.06529999999998,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,7,7,Passive,,legal,1,SBJ.N2 GO-INTR,,SBJ-V.INTR,,0,SBJ-N2-GO-INTR.mp4,,GO-INTR-SBJ-N2.mp3,707.1336,720.1649,13.031299999999987,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,8,8,Passive,,legal,2,OBJ.N5 SBJ.N1 PUSH-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N1-PUSH-TR.mp4,,SBJ-N1-OBJ-N5-PUSH-TR.mp3,720.1665,734.0306,13.864100000000008,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,9,9,Passive,,legal,1,SBJ.N1 JUMP-INTR,,SBJ-V.INTR,,0,SBJ-N1-JUMP-INTR.mp4,,SBJ-N1-JUMP-INTR.mp3,734.0317,744.3131,10.281399999999962,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,10,10,Passive,,legal,2,OBJ.N5 SBJ.N2 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,744.3145,771.545,27.230500000000006,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,11,11,Passive,,legal,2,OBJ.N5 SBJ.N2 HIDE-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N2-HIDE-TR.mp4,,SBJ-N2-HIDE-TR-OBJ-N5.mp3,771.5458,785.5437,13.997899999999959,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,12,12,Passive,,legal,1,SBJ.N2 JUMP-INTR,,SBJ-V.INTR,,0,SBJ-N2-JUMP-INTR.mp4,,SBJ-N2-JUMP-INTR.mp3,785.5449,796.3264,10.781500000000051,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,13,13,Passive,,legal,1,SBJ.N5 HIDE-INTR,,SBJ-V.INTR,,0,SBJ-N5-HIDE-INTR.mp4,,HIDE-INTR-SBJ-N5.mp3,796.3277,808.159,11.831299999999942,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,14,14,Passive,,legal,2,OBJ.N5 SBJ.N3 REVEAL-TR,,OBJ-SBJ-V.TR,,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,808.16,823.1751,15.015100000000075,,,
